app_text_home,Σπίτι
app_text_recent_product,Πρόσφατο προϊόν
app_text_category,Κατηγορίες
app_text_login,Σύνδεση
app_text_logout,Αποσύνδεση
app_text_login_signup,Σύνδεση εγγραφή
app_text_account,Ο λογαριασμός μου
app_text_contact,Επικοινωνήστε μαζί μας
app_text_about,Σχετικά με εμάς
app_text_wishlist,Πρόσθεσε στην λίστα επιθυμιών
app_text_cart,Προσθήκη στο καλάθι
app_text_off,μακριά από
app_text_all,Ολα
app_text_languages,Γλώσσες)
app_text_sort,Είδος
app_text_filter,Φίλτρο
app_text_sort_order,Επιλέξτε ταξινόμηση παραγγελίας
app_text_price_asc,Τιμή: Χαμηλή έως υψηλή
app_text_price_desc,Τιμή: Υψηλή έως Χαμηλή
app_text_product,Προϊόν
app_text_select,Επιλέγω
app_text_instock,Σε απόθεμα
app_text_outstock,Εκτός αποθέματος
app_text_product_info,Πληροφορίες και φροντίδα προϊόντος
app_text_customization,Εξατομίκευση προϊόντος
app_text_accessories,αξεσουάρ
app_text_view_less,Δείτε λιγότερα
app_text_view_more,Δείτε περισσότερα
app_text_provide_details,Δώστε λεπτομέρειες
app_text_bag,Τσάντα για ψώνια
app_text_apply_voucher,Εφαρμογή κουπονιού
app_text_entry_voucher_code,Εισαγάγετε τον κωδικό κουπόνι
app_text_apply,Ισχύουν
app_text_gift,Χαρτί περιτυλίγματος
app_text_entry_message,Εισαγάγετε το μήνυμά σας
app_text_available_first,Αποστολή διαθέσιμων προϊόντων πρώτα
app_text_continue_shopping,Συνεχίστε τις αγορές
app_text_continue_checkout,Συνεχίστε να ελέγχετε
app_text_update_quantity,Ενημέρωση ποσότητα
app_text_enter_quantity,Εισαγάγετε την ποσότητα (0-10)
app_text_empty_cart,Το καλάθι αγορών σας είναι άδειο!
app_text_goto_home,ΠΗΓΑΙΝΕ ΣΤΗΝ ΑΡΧΙΚΗ ΣΕΛΙΔΑ
app_text_review_checkout,Ελέγξτε την παραγγελία σας
app_text_add_new_shipping_address,Προσθήκη νέας διεύθυνσης αποστολής
app_text_history,Λεπτομέρειες αποστολής
app_text_summary,περίληψη παραγγελίας
