app_text_home,Ev
app_text_recent_product,Son ürün
app_text_category,Kategoriler
app_text_login,Giriş yapmak
app_text_logout,Çıkış Yap
app_text_login_signup,Giriş yapmak kayıt olmak
app_text_account,Hesabım
app_text_contact,Bizimle iletişime geçin
app_text_about,Hakkımızda
app_text_wishlist,İstek listesine ekle
app_text_cart,Sepete ekle
app_text_off,kapalı
app_text_all,Herşey
app_text_languages,Diller)
app_text_sort,Çeşit
app_text_filter,Filtre
app_text_sort_order,Sıralama siparişini seçin
app_text_price_asc,Fiyat: Düşük ila yüksek
app_text_price_desc,Fiyatı yüksekten düşüğe doğru
app_text_product,Ürün
app_text_select,Seçme
app_text_instock,Stokta var
app_text_outstock,Stoklar tükendi
app_text_product_info,Ürün Bilgisi ve Bakımı
app_text_customization,Ürün kişiselleştirme
app_text_accessories,Aksesuarlar
app_text_view_less,Daha az görüntüle
app_text_view_more,Daha fazla göster
app_text_provide_details,Lütfen detayları sağlayın
app_text_bag,Alışveriş çantası
app_text_apply_voucher,Kupon uygulayın
app_text_entry_voucher_code,Kupon kodunu girin
app_text_apply,Uygulamak
app_text_gift,Hediye paketi
app_text_entry_message,Mesajınızı girin
app_text_available_first,öncelikle uygun olan ürünleri Gönder
app_text_continue_shopping,Alışverişe devam
app_text_continue_checkout,Ödeme yapmaya devam et
app_text_update_quantity,Güncelleme miktarı
app_text_enter_quantity,Miktarı girin (0-10)
app_text_empty_cart,Alışveriş sepetiniz boş!
app_text_goto_home,Ana sayfaya git
app_text_review_checkout,Siparişini gözden geçir
app_text_add_new_shipping_address,Yeni nakliye adresi ekle
app_text_history,Nakliye ayrıntıları
app_text_summary,sipariş özeti
app_text_shipping_methods,Nakliye Yöntemleri
app_text_comment,Sipariş Yorumu
app_text_payment_summary,Ödeme özeti
app_text_proceed,Ödemeye devam edin
app_text_make_payment,Ödeme yapmak
app_text_congratulations,Tebrikler
app_text_shipping_addresses,Nakliye Adresi (ler)
app_text_order_detail,Sipariş detayı
app_text_update_personal,Kişisel Ayrıntıları Güncelleyin
app_text_update_password,Şifreyi güncelle
app_text_current_password,Mevcut Şifre
app_text_new_password,Yeni Şifre
app_text_confirm_password,Şifreyi Onayla
app_text_cancel,İptal etmek
