app_text_home,Дом
app_text_recent_product,Недавний продукт
app_text_category,Категории
app_text_login,Авторизоваться
app_text_logout,Выйти
app_text_login_signup,Войти Зарегистрироваться
app_text_account,Мой счет
app_text_contact,Связаться с нами
app_text_about,О нас
app_text_wishlist,Добавить в список желаний
app_text_cart,Добавить в корзину
app_text_off,выключенный
app_text_all,Все
app_text_languages,Язык (ы)
app_text_sort,Сортировать
app_text_filter,Фильтр
app_text_sort_order,Выберите заказ сортировки
app_text_price_asc,Цена: низкий до высокого
app_text_price_desc,Цена: высокий до низкого
app_text_product,Продукт
app_text_select,Выбирать
app_text_instock,В наличии
app_text_outstock,Распродано
app_text_product_info,Информация о продукте и уход
app_text_customization,Настройка продукта
app_text_accessories,Аксессуары
app_text_view_less,Просмотреть меньше
app_text_view_more,Просмотреть больше
app_text_provide_details,Пожалуйста, предоставьте подробности
app_text_bag,Сумка для покупок
app_text_apply_voucher,Применить ваучер
app_text_entry_voucher_code,Введите код ваучера
app_text_apply,Применять
app_text_gift,Подарочная упаковка
app_text_entry_message,Введите сообщение
app_text_available_first,Сначала отправьте доступные продукты
app_text_continue_shopping,Продолжить покупки
app_text_continue_checkout,Продолжайте заказать
app_text_update_quantity,Обновить количество
app_text_enter_quantity,Введите количество (0-10)
app_text_empty_cart,Ваша корзина пуста!
app_text_goto_home,Перейдите на домашнюю страницу
app_text_review_checkout,Просмотрите заказ
app_text_add_new_shipping_address,Добавить новый адрес доставки
app_text_history,Отгрузочные реквизиты
app_text_summary,итог заказа
app_text_shipping_methods,Методы доставки
app_text_comment,Заказать комментарий
app_text_payment_summary,Резюме оплаты
app_text_proceed,Перейти к оплате
app_text_make_payment,Производить оплату
app_text_congratulations,Поздравляю
app_text_shipping_addresses,Адрес (ы) доставки
app_text_order_detail,Заказать детали
app_text_update_personal,Обновите личные данные
app_text_update_password,Обновить пароль
app_text_current_password,Текущий пароль
app_text_new_password,Новый пароль
app_text_confirm_password,Подтвердить Пароль
app_text_cancel,Отмена
app_text_save,Сохранять
app_text_sale,Распродажа
app_text_new,Новый
app_text_order_ref,Код заказа
app_text_status,Статус
app_text_placed,Размещены на
app_text_reorder,Изменение порядка
app_text_order_details,Информация для заказа
app_text_status_history,История статуса
app_text_shipping_address,адреса доставки
app_text_order_summary,итог заказа
app_text_shipping_method,способ доставки
app_text_payment_method,Способ оплаты
app_text_gift_wrapping,Подарочная упаковка
app_text_no_shipping_address,Никакого адреса доставки!
app_text_no_order_details,Нет информации о заказе!
app_text_signup,Зарегистрироваться
app_text_continue_guest,Продолжать в качестве гостя
app_text_email,Эл. адрес
app_text_password,Пароль
app_text_forgot_password,Забыли пароль?
app_text_login_social_account,Вы можете войти в систему с социальной учетной записью.
app_text_login_with_google,Войдите с Google+
app_text_login_with_facebook,Войти с Facebook
app_text_signup_with_google,Зарегистрируйтесь с Google+
app_text_signup_with_facebook,Зарегистрируйтесь с Facebook
app_text_msg_enter_valid_email,Пожалуйста, введите действительное письмо!
app_text_msg_enter_email,Пожалуйста, введите электронное письмо!
app_text_msg_enter_password,Пожалуйста введите пароль!
app_text_msg_password_characters_less_than_3,Пожалуйста, введите пароль, имея символы более или равны 3!
app_text_msg_first_name,Имя
app_text_msg_last_name,Фамилия
app_text_msg_dob,Дата рождения
app_text_msg_confirm_password,Подтвердить Пароль
app_text_msg_personal_details,Личная информация
app_text_msg_pass_not_matched,Пароль и подтвердите пароль, не сопоставляется!
app_text_sold_by,Продан:
app_text_write_review,Написать обзор
app_text_view_review,Просмотреть обзор (ы)
app_text_view_seller_products,Просмотреть продукт продавца (ы)
app_text_wait,Пожалуйста подождите
app_text_loading,Загрузка данных...
app_text_msg_went_wrong,Что-то пошло не так. Пожалуйста, попробуйте еще раз.
app_text_msg_no_internet_found,Подключение к Интернету не найдено.
app_text_msg_no_internet_title,Нет интернета
app_text_msg_request,Запрос не может быть процессом. Это может быть из -за медленного подключения к Интернету.
app_text_msg_order_placed_email,Ваш заказ был успешно размещен. Вы получите электронное письмо относительно того же.
app_text_msg_product_look,Вы можете искать продукт (ы) по их категории.
app_text_msg_search_product,Вы можете искать любой продукт в магазине по тексту или голосу!
app_text_msg_view_cart,Вы можете просматривать корзину с количеством покупок с количеством!
app_text_msg_logout,Вы успешно выходите из системы!
app_text_msg_view_product,Вы можете просмотреть продукт в списке или режиме сетки!
app_text_msg_sort_product,Вы можете сортировать продукт по их цене!
app_text_msg_filter_product,Вы можете отфильтровать продукты (ы) в соответствии с вашей потребностью!
app_text_text_next,Следующий
app_text_text_okay,Хорошо
app_text_required,Необходимый
app_text_msg_rating,Пожалуйста, выберите рейтинг
app_text_msg_add_cart,Вы можете добавить продукт в корзину покупок, просто нажав на кнопку «Добавить в корзину»!
app_text_msg_add_wishlist,Вы можете добавить продукт в список желаний, просто нажав кнопку «Добавить в список желаний»!
app_text_msg_product_price,Цена продукта была обновлена!
app_text_msg_product_not_available,Этот продукт недоступен для заказа!
app_text_msg_combination,Продукт больше не в наличии с выбранной комбинацией. Пожалуйста, попробуйте с другими комбинациями.
app_text_msg_product_no_stock,Этот продукт недоступен в желаемом количестве или нет в наличии!
app_text_msg_out_stock,Некоторые из продуктов в корзине не доступны в желаемом количестве или нет в наличии. Пожалуйста, удалите такие продукты из корзины!
app_text_msg_checkout_products,Вы можете заказать продукты в корзине покупок, просто нажав на кнопку «Продолжить оформление заказа».
app_text_msg_apply_voucher,Вы можете применить ваучер на корзину!
app_text_msg_update_quantity,Вы можете обновить количество продукта или удалить его из корзины!
app_text_msg_view_details,Вы можете просмотреть данные продукта, нажав на изображение продукта!
app_text_msg_success,Успех!
app_text_msg_failure,Отказ!
app_text_msg_enter_quantity,Пожалуйста, введите количество
app_text_quantity,Количество
text_quantity,Количество
app_text_remove,Удалять
app_text_customization_details,Детали настройки
app_text_msg_add_address,Вы можете добавить новый адрес доставки, нажав на кнопку!
app_text_msg_update_address,Вы можете обновить адрес доставки!
app_text_msg_select_address,Вы можете выбрать любой адрес доставки, просто нажав на него!
app_text_select_address_text,*Пожалуйста, выберите адрес доставки, чтобы просмотреть свой заказ.
app_text_msg_no_product,Нет продуктов!
app_text_msg_no_comment_available,Нет комментариев (ы)!
app_text_msg_reset_password,Вы можете сбросить пароль, нажав «Забудь пароль»
app_text_msg_login,Вы можете войти в магазин отсюда!
app_text_msg_login_fb,Вы также можете войти в магазин из своей учетной записи Facebook!
app_text_msg_login_google,Вы также можете войти в магазин из своей учетной записи Google!
app_text_msg_update_profile,Вы можете обновить сведения о своем профиле сведения о доставке или просмотреть данные вашего заказа отсюда!
app_text_product_info_and_care,Информация о продукте и уход
app_text_download,Загрузки
app_text_minimal_quantity,Минимальное количество
app_text_pack_content,Упаковать контент
app_text_seller_details,Детали продавца
app_text_submit,Представлять на рассмотрение
app_text_msg_forget_password,Введите адрес электронной почты, связанный с вашей учетной записью. Нажмите, чтобы отправить вам, как вам по электронной почте.
app_text_enter_your_email,Введите адрес электронной почты
app_text_reset_password,Сброс пароля
app_text_view_selected_filter,Вы можете просмотреть результат выбранного фильтра, нажав на это изображение!
app_text_clear_selected_filter,Вы можете очистить применяемый фильтр, нажав на это изображение!
app_text_no_filter,Нет фильтров
app_text_phone_number_required,*Вы должны зарегистрировать хотя бы один номер телефона
app_text_refresh,Обновлять
app_text_internet_connection_failed,Подключение к Интернету не удалось!
app_text_internet_connection_problem,Там могут возникнуть проблемы с вашим интернет -подключением. Пожалуйста, проверьте.
app_text_cancel_transaction,Отменить транзакцию
app_text_middle_of_payment,Вы находитесь в середине процесса транзакции платежей. Вы действительно хотите отменить свою транзакцию?
app_text_yes,Да
app_text_no,Нет
app_text_enter_your_comment,Введите свой комментарий
app_text_msg_shipping_methods_unavailable,Методы доставки не доступны
app_text_msg_select_shipping_methods,Пожалуйста, выберите метод доставки
app_text_billing_address,Адрес для выставления счета
app_text_billing_addresses,Биллинг -адрес (ы)
app_text_addresses,Адрес (ы)
app_text_billing_details,Платежные реквизиты
app_text_same_as_shipping_details,То же, что и адрес доставки
app_text_share_log,Поделиться журналом
app_text_payment_failed_contact_support,Ваш заказ не может быть обработан. Пожалуйста, свяжитесь с поддержкой любых запросов
app_text_choose_payment_method,Выберите способ оплаты
app_text_no_payment_method,Метод оплаты не найдена!
app_text_no_payment_currently,В настоящее время нет способа оплаты.
app_text_no_make_payment,Вы не сможете произвести платеж, так как это мобильное приложение настроено для демонстрации.
app_text_make_payment_after_select,Вы можете сделать оплату после выбора любого способа оплаты!
app_text_title_payment_paypal,PayPal платеж
app_text_order_total_price,Заказ общая цена
app_text_user_cancelled_the_payment,Пользователь отменил платеж
app_text_invalid_payment_try_again,Недействительный платеж. Пожалуйста, попробуйте еще раз
app_text_title_paypal_payment,PayPal платеж
app_text_wishlist_item_removed,Элемент удален из списка желаний.
app_text_wishlist_item_added,Товар добавлен в список желаний
app_text_subject,Эй, проверь это!
app_text_extra_share,Доступна здесь :
app_text_intent_title,Делиться
app_text_error_product_name_url,Название продукта или URL может быть пустым.
