app_text_home,مسكن
app_text_recent_product,المنتج الأخير
app_text_category,فئات
app_text_login,تسجيل الدخول
app_text_logout,تسجيل خروج
app_text_login_signup,الدخول التسجيل فى الموقع
app_text_account,حسابي
app_text_contact,اتصل بنا
app_text_about,معلومات عنا
app_text_wishlist,أضف إلى قائمة الامنيات
app_text_cart,أضف إلى السلة
app_text_off,إيقاف
app_text_all,الجميع
app_text_languages,اللغات)
app_text_sort,نوع
app_text_filter,منقي
app_text_sort_order,حدد ترتيب الفرز
app_text_price_asc,السعر من الارخص للاعلى
app_text_price_desc,السعر الاعلى الى الادنى
app_text_product,المنتج
app_text_select,يختار
app_text_instock,في المخزن
app_text_outstock,إنتهى من المخزن
app_text_product_info,معلومات المنتج والرعاية
app_text_customization,تخصيص المنتج
app_text_accessories,مستلزمات
app_text_view_less,عرض أقل
app_text_view_more,عرض المزيد
app_text_provide_details,يرجى تقديم تفاصيل
app_text_bag,كيس التسوق
app_text_apply_voucher,تطبيق القسيمة
app_text_entry_voucher_code,أدخل رمز القسيمة
app_text_apply,يتقدم
app_text_gift,غلاف الهدايا
app_text_entry_message,أدخل رسالتك
app_text_available_first,نرسل المنتجات المتاحة أولا
app_text_continue_shopping,مواصلة التسوق
app_text_continue_checkout,الاستمرار في الخروج
app_text_update_quantity,تحديث الكمية
app_text_enter_quantity,أدخل الكمية (0-10)
app_text_empty_cart,سلة التسوق الخاصة بك فارغة!
app_text_goto_home,انتقل إلى الصفحة الرئيسية
app_text_review_checkout,راجع طلباتك
app_text_add_new_shipping_address,اضف عنوان شحن جديد
app_text_history,تفاصيل الشحن
app_text_summary,ملخص الطلب
app_text_shipping_methods,طرق الشحن
app_text_comment,طلب تعليق
app_text_payment_summary,ملخص الدفع
app_text_proceed,الشروع في دفع
app_text_make_payment,قم بالدفع
app_text_congratulations,تهانينا
app_text_shipping_addresses,عنوان الشحن (ق)
app_text_order_detail,تفاصيل الطلب
app_text_update_personal,تحديث التفاصيل الشخصية
app_text_update_password,تطوير كلمة السر
app_text_current_password,كلمة المرور الحالية
app_text_new_password,كلمة المرور الجديدة
app_text_confirm_password,تأكيد كلمة المرور
app_text_cancel,يلغي
app_text_save,يحفظ
app_text_sale,تخفيض السعر
app_text_new,جديد
app_text_order_ref,ترتيب المرجعي
app_text_status,حالة
app_text_placed,موضوع على
app_text_reorder,إعادة ترتيب
app_text_order_details,تفاصيل الطلب
app_text_status_history,تاريخ الحالة
app_text_shipping_address,عنوان الشحن
app_text_order_summary,ملخص الطلب
app_text_shipping_method,طريقة الشحن
app_text_payment_method,طريقة الدفع او السداد
app_text_gift_wrapping,تغليف الهدايا
app_text_no_shipping_address,لا يوجد عنوان شحن متاح!
app_text_no_order_details,لا تفاصيل الطلب المتاحة!
app_text_signup,اشتراك
app_text_continue_guest,استمر كضيف
app_text_email,بريد الالكتروني
app_text_password,كلمه السر
app_text_forgot_password,هل نسيت كلمة السره
app_text_login_social_account,يمكنك تسجيل الدخول مع حساب اجتماعي.
app_text_login_with_google,تسجيل الدخول مع Google+
app_text_login_with_facebook,تسجيل الدخول باستخدام الفيسبوك
app_text_signup_with_google,الاشتراك مع Google+
app_text_signup_with_facebook,اشترك عبر حساب فايسبوك
app_text_msg_enter_valid_email,الرجاء إدخال بريد إلكتروني صحيح!
app_text_msg_enter_email,الرجاء إدخال البريد الإلكتروني!
app_text_msg_enter_password,الرجاء إدخال كلمة المرور!
app_text_msg_password_characters_less_than_3,الرجاء إدخال كلمة المرور التي تحتوي على أحرف أكثر أو تساوي 3!
app_text_msg_first_name,الاسم الأول
app_text_msg_last_name,الكنية
app_text_msg_dob,تاريخ الميلاد
app_text_msg_confirm_password,تأكيد كلمة المرور
app_text_msg_personal_details,تفاصيل شخصية
app_text_msg_pass_not_matched,كلمة المرور وتأكيد كلمة المرور غير متطابقة!
app_text_sold_by,تم بيعها من قبل:
app_text_write_review,أكتب مراجعة
app_text_view_review,عرض المراجعة (ق)
app_text_view_seller_products,عرض منتج (منتجات) البائع
app_text_wait,ارجوك انتظر
app_text_loading,تحميل البيانات...
app_text_msg_went_wrong,هناك خطأ ما. حاول مرة اخرى.
app_text_msg_no_internet_found,لم يتم العثور على اتصال إنترنت.
app_text_msg_no_internet_title,لا انترنت
app_text_msg_request,لا يمكن أن يكون الطلب عملية. قد يكون هذا بسبب اتصال الإنترنت البطيء.
app_text_msg_order_placed_email,تم تقديم طلبك بنجاح. سوف تتلقى بريدًا إلكترونيًا بخصوص نفسه.
app_text_msg_product_look,يمكنك البحث عن المنتج (المنتجات) حسب فئتهم.
app_text_msg_search_product,يمكنك البحث في أي منتج في المتجر عن طريق النص أو الصوت!
app_text_msg_view_cart,يمكنك عرض عربة التسوق بكمية!
app_text_msg_logout,أنت سجل بنجاح!
app_text_msg_view_product,يمكنك عرض المنتج في القائمة أو وضع الشبكة!
app_text_msg_sort_product,يمكنك فرز المنتج بسعرها!
app_text_msg_filter_product,يمكنك تصفية المنتج (المنتجات) حسب حاجتك!
app_text_text_next,التالي
app_text_text_okay,تمام
app_text_required,مطلوب
app_text_msg_rating,الرجاء تحديد التصنيف
app_text_msg_add_cart,يمكنك إضافة منتج إلى عربة التسوق بمجرد النقر على الزر "إضافة إلى عربة"!
app_text_msg_add_wishlist,يمكنك إضافة منتج إلى قائمة الرغبات بمجرد النقر على الزر "إضافة إلى قائمة الرغبات"!
app_text_msg_product_price,تم تحديث سعر المنتج!
app_text_msg_product_not_available,هذا المنتج غير متوفر للطلب!
app_text_msg_combination,لم يعد المنتج في المخزون مع التركيبة المحددة. يرجى المحاولة مع مجموعات أخرى.
app_text_msg_product_no_stock,هذا المنتج غير متوفر في الكمية المطلوبة أم لا في المخزون!
