app_text_home,Домашній
app_text_recent_product,Останній продукт
app_text_category,Категорії
app_text_login,Вхід
app_text_logout,Вийти
app_text_login_signup,Увійти Зареєструватися
app_text_account,Мій рахунок
app_text_contact,Зв'яжіться з нами
app_text_about,Про нас
app_text_wishlist,Додати до списку бажань
app_text_cart,Додати до візка
app_text_off,не вистачати
app_text_all,Все
app_text_languages,Мова (и)
app_text_sort,Сортувати
app_text_filter,Фільтрувати
app_text_sort_order,Виберіть Сорт порядок
app_text_price_asc,Ціна: низька до високої
app_text_price_desc,Ціна: висока до низької
app_text_product,Продукт
app_text_select,Обраний
app_text_instock,В наявності
app_text_outstock,Поза запасом
app_text_product_info,Інформація про товар та догляд
app_text_customization,Налаштування товару
app_text_accessories,Аксесуари
app_text_view_less,Переглянути менше
app_text_view_more,Дивитись більше
app_text_provide_details,Будь ласка, надайте деталі
app_text_bag,Корзина
app_text_apply_voucher,Застосуйте ваучер
app_text_entry_voucher_code,Введіть код ваучера
app_text_apply,Застосовувати
app_text_gift,Подарункова упаковка
app_text_entry_message,Введіть своє повідомлення
app_text_available_first,Спершу надішліть доступні продукти
app_text_continue_shopping,Продовжити покупки
app_text_continue_checkout,Продовжуйте оформлення замовлення
app_text_update_quantity,Кількість оновлення
app_text_enter_quantity,Введіть кількість (0-10)
app_text_empty_cart,Ваша корзина порожня!
app_text_goto_home,Перейдіть на домашню сторінку
app_text_review_checkout,Перегляньте своє замовлення
app_text_add_new_shipping_address,Додайте нову адресу доставки
app_text_history,Деталі доставки
app_text_summary,Підсумок Замовлення
app_text_shipping_methods,Методи доставки
app_text_comment,Замовити коментар
app_text_payment_summary,Резюме оплати
app_text_proceed,Перейти до оплати
app_text_make_payment,Здійснити оплату
app_text_congratulations,Вітаємо
app_text_shipping_addresses,Адреса доставки (и)
app_text_order_detail,Деталі замовити
app_text_update_personal,Оновіть особисті дані
app_text_update_password,Оновіть пароль
app_text_current_password,Поточний пароль
app_text_new_password,Новий пароль
app_text_confirm_password,Підтвердьте пароль
app_text_cancel,Скасувати
app_text_save,Збагачувати
app_text_sale,Розпродаж
