app_text_home,Domov
app_text_recent_product,Nedávný produkt
app_text_category,Kategorie
app_text_login,Přihlásit se
app_text_logout,Odhlásit se
app_text_login_signup,Přihlášení Registrace
app_text_account,Můj účet
app_text_contact,Kontaktujte nás
app_text_about,O nás
app_text_wishlist,Přidat do seznamu přání
app_text_cart,Přidat do košíku
app_text_off,vypnuto
app_text_all,Všechno
app_text_languages,Jazyk)
app_text_sort,Třídění
app_text_filter,Filtr
app_text_sort_order,Vyberte pořadí řazení
app_text_price_asc,Cena: nízká až vysoká
app_text_price_desc,Cena: vysoká až nízká
app_text_product,Produkt
app_text_select,Vybrat
app_text_instock,Na skladě
app_text_outstock,Vyprodáno
app_text_product_info,Informace o produktu a péči
app_text_customization,Přizpůsobení produktu
app_text_accessories,Příslušenství
app_text_view_less,Zobrazit méně
app_text_view_more,Ukázat více
app_text_provide_details,Uveďte podrobnosti
app_text_bag,Nákupní taška
app_text_apply_voucher,Naneste poukaz
app_text_entry_voucher_code,Zadejte kód voucheru
app_text_apply,Aplikovat
app_text_gift,Dárkový obal
app_text_entry_message,Zadejte svou zprávu
app_text_available_first,Nejprve pošlete dostupné produkty
app_text_continue_shopping,Pokračovat v nákupu
app_text_continue_checkout,Pokračujte v pokladně
app_text_update_quantity,Aktualizovat množství
app_text_enter_quantity,Zadejte množství (0-10)
app_text_empty_cart,Váš nákupní košík je prázdný!
app_text_goto_home,Jít na domovskou stránku
app_text_review_checkout,Zkontrolujte svou objednávku
app_text_add_new_shipping_address,Přidejte novou dodací adresu
app_text_history,Podrobnosti o přepravě
app_text_summary,Přehled objednávky
app_text_shipping_methods,Metody přepravy
app_text_comment,Objednejte komentář
app_text_payment_summary,Shrnutí platby
app_text_proceed,Pokračujte v platbě
app_text_make_payment,Zaplatit
app_text_congratulations,Gratulujeme
app_text_shipping_addresses,Přepravní adresy)
app_text_order_detail,Objednávejte podrobnosti
app_text_update_personal,Aktualizujte osobní údaje
app_text_update_password,Aktualizovat heslo
app_text_current_password,Aktuální heslo
app_text_new_password,nové heslo
app_text_confirm_password,Potvrďte heslo
app_text_cancel,zrušení
app_text_save,Uložit
app_text_sale,Prodej
app_text_new,Nový
app_text_order_ref,Odkaz na objednávku
app_text_status,Postavení
app_text_placed,Umístěno na
app_text_reorder,Přeobjednat
app_text_order_details,podrobnosti objednávky
app_text_status_history,Historie stavu
app_text_shipping_address,doručovací adresa
app_text_order_summary,Přehled objednávky
app_text_shipping_method,Metoda přepravy
app_text_payment_method,Způsob platby
app_text_gift_wrapping,Balení dárků
app_text_no_shipping_address,Není k dispozici žádná dodací adresa!
app_text_no_order_details,K dispozici žádné podrobnosti o objednávce!
app_text_signup,Přihlásit se
app_text_continue_guest,Pokračovat jako host
app_text_email,E-mailem
app_text_password,Heslo
app_text_forgot_password,Zapomenuté heslo?
app_text_login_social_account,Můžete se přihlásit pomocí sociálního účtu.
app_text_login_with_google,Přihlaste se pomocí Google+
app_text_login_with_facebook,Přihlásit se pomocí Facebooku
app_text_signup_with_google,Zaregistrujte se s Google+
app_text_signup_with_facebook,Zaregistrujte se s Facebookem
app_text_msg_enter_valid_email,Zadejte platný e -mail!
app_text_msg_enter_email,Zadejte e -mail!
app_text_msg_enter_password,Prosím vložte heslo!
app_text_msg_password_characters_less_than_3,Zadejte heslo s více znaky nebo rovná 3!
app_text_msg_first_name,Jméno
app_text_msg_last_name,Příjmení
app_text_msg_dob,Datum narození
app_text_msg_confirm_password,Potvrďte heslo
app_text_msg_personal_details,Osobní údaje
app_text_msg_pass_not_matched,Heslo a Potvrďte heslo se neshodují!
app_text_sold_by,Prodáno:
app_text_write_review,Napsat recenzi
app_text_view_review,Zobrazit recenzi)
app_text_view_seller_products,Zobrazit produkty prodejce)
app_text_wait,Prosím, čekejte
app_text_loading,Načítání dat...
app_text_msg_went_wrong,Něco se pokazilo. Prosím zkuste to znovu.
app_text_msg_no_internet_found,Nalezeno žádné připojení k internetu.
app_text_msg_no_internet_title,Žádný internet
app_text_msg_request,Požadavek nemůže být proces. Může to být kvůli pomalému připojení k internetu.
app_text_msg_order_placed_email,Vaše objednávka byla úspěšně zadána. Obdržíte e -mail týkající se toho samého.
app_text_msg_product_look,Produkty můžete hledat podle jejich kategorie.
app_text_msg_search_product,Můžete hledat jakýkoli produkt v obchodě pomocí textu nebo hlasu!
app_text_msg_view_cart,Nákupní košík si můžete prohlédnout s množstvím!
app_text_msg_logout,Úspěšně se odhlásíte!
app_text_msg_view_product,Produkt si můžete prohlédnout v režimu seznamu nebo mřížky!
app_text_msg_sort_product,Produkt můžete třídit podle jejich ceny!
app_text_msg_filter_product,Můžete filtrovat produkty podle vaší potřeby!
app_text_text_next,další
app_text_text_okay,dobře
app_text_required,Požadované
app_text_msg_rating,Vyberte rating
app_text_msg_add_cart,Produkt do nákupního košíku můžete přidat jednoduše kliknutím na tlačítko „Přidat do košíku“!
app_text_msg_add_wishlist,Produkt do seznamu přání můžete přidat jednoduše kliknutím na tlačítko „Přidat do seznamu přání“!
app_text_msg_product_price,Cena produktu byla aktualizována!
app_text_msg_product_not_available,Tento produkt není k dispozici pro objednávku!
app_text_msg_combination,Produkt již není na skladě s vybranou kombinací. Zkuste to s dalšími kombinacemi.
app_text_msg_product_no_stock,Tento produkt není k dispozici v požadovaném množství nebo na skladě!
app_text_msg_out_stock,Některé produkty v košíku nejsou k dispozici v požadovaném množství nebo na skladě. Odstraňte takové produkty z vozíku!
app_text_msg_checkout_products,Produkty v nákupním košíku můžete pokladnu jednoduše kliknout na tlačítko „Pokračovat v pokladně“.
app_text_msg_apply_voucher,Na nákupní košík můžete použít poukaz!
app_text_msg_update_quantity,Můžete aktualizovat množství produktu nebo jej odstranit z nákupního košíku!
app_text_msg_view_details,Podrobnosti o produktu si můžete prohlédnout kliknutím na obrázek produktu!
app_text_msg_success,Úspěch!
app_text_msg_failure,Selhání!
app_text_msg_enter_quantity,Zadejte množství
app_text_quantity,Množství
text_quantity,Množství
app_text_remove,Odstranit
app_text_customization_details,Podrobnosti o přizpůsobení
app_text_msg_add_address,Novou přepravní adresu můžete přidat kliknutím na tlačítko!
app_text_msg_update_address,Můžete aktualizovat dodací adresu!
app_text_msg_select_address,Jednoduše kliknutím na ni můžete vybrat jakoukoli dodací adresu!
app_text_select_address_text,*Chcete -li zkontrolovat objednávku, vyberte prosím přepravní adresu.
app_text_msg_no_product,Žádné produkty k dispozici!
app_text_msg_no_comment_available,K dispozici nejsou žádné komentáře!
app_text_msg_reset_password,Heslo můžete resetovat kliknutím na „zapomenout heslo“
app_text_msg_login,Odtud se můžete přihlásit do obchodu!
app_text_msg_login_fb,Do obchodu se můžete také přihlásit z vašeho účtu na Facebooku!
app_text_msg_login_google,Můžete se také přihlásit do obchodu z vašeho účtu Google!
app_text_msg_update_profile,Podrobnosti o odeslání profilu můžete aktualizovat nebo zobrazit údaje o objednávce odtud!
app_text_product_info_and_care,Informace o produktu a péči
app_text_download,Stahování
app_text_minimal_quantity,Minimální množství
app_text_pack_content,Obsah balení
app_text_seller_details,Podrobnosti prodejce
app_text_submit,Předložit
