app_text_home,itthon
app_text_recent_product,Legújabb termék
app_text_category,Kategóriák
app_text_login,Belépés
app_text_logout,Kijelentkezés
app_text_login_signup,Belépés Regisztrálás
app_text_account,Fiókom
app_text_contact,Lépjen kapcsolatba velünk
app_text_about,Rólunk
app_text_wishlist,Hozzáadni a Kívánságlistához
app_text_cart,Kosárba
app_text_off,ki
app_text_all,Minden
app_text_languages,Nyelv (ek)
app_text_sort,Fajta
app_text_filter,Szűrő
app_text_sort_order,Válassza a rendezési rendelés lehetőséget
app_text_price_asc,Ár: alacsony vagy magas
app_text_price_desc,Ár: Magas vagy alacsony
app_text_product,Termék
app_text_select,Válasszon
app_text_instock,Raktáron
app_text_outstock,Nincs raktáron
app_text_product_info,Termékinformáció és gondozás
app_text_customization,Termék testreszabás
app_text_accessories,kiegészítők
app_text_view_less,Kevesebb megtekintése
app_text_view_more,Mutass többet
app_text_provide_details,Kérjük, adja meg a részleteket
app_text_bag,Bevásárló táska
app_text_apply_voucher,Alkalmazza az utalványt
app_text_entry_voucher_code,Írja be az utalványkódot
app_text_apply,Alkalmaz
app_text_gift,Díszcsomagolás
app_text_entry_message,Írja be üzenetét
app_text_available_first,Először küldje el a rendelkezésre álló termékeket
app_text_continue_shopping,Folytatni a vásárlást
app_text_continue_checkout,Folytassa a Fizetés folytatását
app_text_update_quantity,Frissítse a mennyiséget
app_text_enter_quantity,Írja be a mennyiséget (0-10)
app_text_empty_cart,Az Ön kosara üres!
app_text_goto_home,Menj a főoldalra
app_text_review_checkout,Nézze át rendelését
app_text_add_new_shipping_address,Adjon hozzá új szállítási címet
app_text_history,Szállítási adatok
app_text_summary,megrendelés-összesítő
app_text_shipping_methods,Szállítási módszerek
app_text_comment,Rendelési megjegyzés
app_text_payment_summary,Fizetési összefoglaló
app_text_proceed,Tovább a fizetésre
app_text_make_payment,Kifizetni
app_text_congratulations,Gratulálunk
app_text_shipping_addresses,Szállítási cím (ek)
app_text_order_detail,Megrendelési részlet
app_text_update_personal,Frissítse a személyes adatait
app_text_update_password,A jelszó frissítése
app_text_current_password,jelenlegi jelszó
app_text_new_password,új jelszó
app_text_confirm_password,Jelszó megerősítése
app_text_cancel,Megszünteti
app_text_save,Megment
app_text_sale,Eladás
app_text_new,Új
app_text_order_ref,Rendelési szám
app_text_status,Állapot
app_text_placed,Rátette
app_text_reorder,Átrendezés
app_text_order_details,Rendelési részletek
app_text_status_history,Státustörténelem
app_text_shipping_address,szállítási cím
app_text_order_summary,megrendelés-összesítő
app_text_shipping_method,Szállítási Mód
app_text_payment_method,Fizetési mód
app_text_gift_wrapping,Ajándék csomagolás
app_text_no_shipping_address,Nincs elérhető szállítási cím!
app_text_no_order_details,Nincsenek megrendelési részletek!
app_text_signup,Regisztrálj
app_text_continue_guest,Folytatás vendégként
app_text_email,Email
app_text_password,Jelszó
app_text_forgot_password,Elfelejtette a jelszót?
app_text_login_social_account,Jelentkezhet a szociális fiókkal.
app_text_login_with_google,Jelentkezzen be a Google+ -nel
app_text_login_with_facebook,Jelentkezz be facebookal
app_text_signup_with_google,Iratkozzon fel a Google+ -nel
app_text_signup_with_facebook,Iratkozzon fel a Facebook -szal
app_text_msg_enter_valid_email,Kérjük, adja meg az érvényes e -mailt!
app_text_msg_enter_email,Kérjük, adja meg az e -mailt!
app_text_msg_enter_password,Kérjük, írja be a jelszót!
app_text_msg_password_characters_less_than_3,Kérjük, írja be a jelszavát, amelynek karakterei jobban vagy egyenlőnek tartják a 3 -at!
app_text_msg_first_name,Keresztnév
app_text_msg_last_name,Vezetéknév
app_text_msg_dob,Születési dátum
app_text_msg_confirm_password,Jelszó megerősítése
app_text_msg_personal_details,Személyes adatok
app_text_msg_pass_not_matched,Jelszó és a jelszó megerősítése nem egyezik meg!
app_text_sold_by,Által értékesített:
app_text_write_review,Írja be a felülvizsgálatot
app_text_view_review,Review (ek) megtekintése
app_text_view_seller_products,View Seller termék (ek)
app_text_wait,Kérlek várj
app_text_loading,Adatok betöltése...
app_text_msg_went_wrong,Valami elromlott. Kérlek próbáld újra.
app_text_msg_no_internet_found,Nincs internetkapcsolat.
app_text_msg_no_internet_title,Nincs internet
app_text_msg_request,A kérés nem lehet feldolgozni. Ennek oka lehet a lassú internetkapcsolat.
