app_text_home,У дома
app_text_recent_product,Скорошен продукт
app_text_category,Категории
app_text_login,Влизане
app_text_logout,Излез от профила си
app_text_login_signup,Влезте/регистрирайте
app_text_account,Моята сметка
app_text_contact,Свържете се с нас
app_text_about,За нас
app_text_wishlist,Добавете към списъка с желания
app_text_cart,Добави в кошницата
app_text_off,изключване
app_text_all,всичко
app_text_languages,Език (и)
app_text_sort,Вид
app_text_filter,Филтър
app_text_sort_order,Изберете Ред за сортиране
app_text_price_asc,Цена: Ниска до висока
app_text_price_desc,Цена: Висока до ниска
app_text_product,Продукт
app_text_select,Изберете
app_text_instock,В наличност
app_text_outstock,Не е налично
app_text_product_info,Информация и грижи за продукта
app_text_customization,Персонализиране на продукта
app_text_accessories,Аксесоари
app_text_view_less,Вижте по -малко
app_text_view_more,Виж повече
app_text_provide_details,Моля, предоставете подробности
app_text_bag,Пазарска чанта
app_text_apply_voucher,Нанесете ваучер
app_text_entry_voucher_code,Въведете код на ваучер
app_text_apply,Приложи
app_text_gift,Опаковъчна хартия
app_text_entry_message,Въведете вашето съобщение
app_text_available_first,Първо изпратете наличните продукти
app_text_continue_shopping,Продължи пазаруването
app_text_continue_checkout,Продължете да касата
app_text_update_quantity,Количество актуализиране
app_text_enter_quantity,Въведете количество (0-10)
app_text_empty_cart,Вашата количка за пазаруване е празна!
app_text_goto_home,Отидете в началната страница
app_text_review_checkout,Прегледайте вашата поръчка
app_text_add_new_shipping_address,Добавете нов адрес за доставка
app_text_history,Подробности за доставката
app_text_summary,Резюме на поръчката
app_text_shipping_methods,Методи за доставка
app_text_comment,Поръчайте коментар
app_text_payment_summary,Обобщение на плащанията
app_text_proceed,Пристъпват към плащане
app_text_make_payment,Извършвам плащане
app_text_congratulations,Честито
app_text_shipping_addresses,Адрес (и) за доставка (и)
app_text_order_detail,Поръчайте подробности
app_text_update_personal,Актуализирайте личните данни
app_text_update_password,Актуализиране на парола
app_text_current_password,Настояща парола
app_text_new_password,нова парола
app_text_confirm_password,потвърди парола
app_text_cancel,Отказ
app_text_save,Запазете
app_text_sale,Продажба
app_text_new,Ново
app_text_order_ref,Справка за поръчка
app_text_status,Статус
app_text_placed,Сложен на
app_text_reorder,Пренареждане
app_text_order_details,подробности за поръчката
app_text_status_history,История на състоянието
app_text_shipping_address,Адрес за доставка
app_text_order_summary,Резюме на поръчката
app_text_shipping_method,Начин на доставка
app_text_payment_method,Начин на плащане
app_text_gift_wrapping,Опаковане на подаръци
app_text_no_shipping_address,Няма наличен адрес за доставка!
app_text_no_order_details,Няма налични подробности за поръчката!
app_text_signup,Регистрирай се
app_text_continue_guest,Продължете като гост
app_text_email,електронна поща
app_text_password,Парола
app_text_forgot_password,Забравена парола?
app_text_login_social_account,Можете да влезете със социален акаунт.
app_text_login_with_google,Влезте с Google+
app_text_login_with_facebook,Влезте с Facebook
app_text_signup_with_google,Регистрация с Google+
app_text_signup_with_facebook,Регистрация с Facebook
app_text_msg_enter_valid_email,Моля, въведете валиден имейл!
app_text_msg_enter_email,Моля, въведете имейл!
app_text_msg_enter_password,Моля, въведете парола!
app_text_msg_password_characters_less_than_3,Моля, въведете парола с знаци повече, които или равни на 3!
app_text_msg_first_name,Първо име
app_text_msg_last_name,Фамилия
app_text_msg_dob,Дата на раждане
app_text_msg_confirm_password,потвърди парола
app_text_msg_personal_details,Лични данни
app_text_msg_pass_not_matched,Паролата и потвърдете паролата не съвпадат!
app_text_sold_by,Продаден от:
app_text_write_review,Напиши отзив
