app_text_home,Casa
app_text_recent_product,Produto recente
app_text_category,Categorias
app_text_login,Conecte-se
app_text_logout,Sair
app_text_login_signup,Entrar Inscrever-se
app_text_account,Minha conta
app_text_contact,Entre em contato conosco
app_text_about,Sobre nós
app_text_wishlist,Adicionar a lista de desejos
app_text_cart,Adicionar ao carrinho
app_text_off,fora
app_text_all,Tudo
app_text_languages,Línguas)
app_text_sort,Ordenar
app_text_filter,Filtro
app_text_sort_order,Selecione o pedido de classificação
app_text_price_asc,Preço: baixo para alto
app_text_price_desc,Preço: Alto para baixo
app_text_product,produtos
app_text_select,Selecione
app_text_instock,Em estoque
app_text_outstock,Fora de estoque
app_text_product_info,Informações e cuidados do produto
app_text_customization,Customização de produto
app_text_accessories,Acessórios
app_text_view_less,Ver menos
app_text_view_more,Veja mais
app_text_provide_details,Por favor forneça detalhes
app_text_bag,Bolsa de compras
app_text_apply_voucher,Aplicar cupom
app_text_entry_voucher_code,Digite o código do voucher
app_text_apply,Aplicar
app_text_gift,Embrulho de presente
app_text_entry_message,Digite sua mensagem
app_text_available_first,Envie os produtos disponíveis primeiro
app_text_continue_shopping,Continue comprando
app_text_continue_checkout,Continue a fazer o checkout
app_text_update_quantity,Atualizar quantidade
app_text_enter_quantity,Digite a quantidade (0-10)
app_text_empty_cart,Seu carrinho de compras está vazio!
app_text_goto_home,Vá para a página inicial
app_text_review_checkout,Revise seu pedido
app_text_add_new_shipping_address,Adicionar novo endereço de entrega
app_text_history,Detalhes de envio
app_text_summary,resumo do pedido
app_text_shipping_methods,Métodos de Envio
app_text_comment,Encomendar comentário
app_text_payment_summary,Resumo do pagamento
app_text_proceed,Prossiga para o pagamento
app_text_make_payment,Faça o pagamento
app_text_congratulations,Parabéns
app_text_shipping_addresses,Endereço (s) de entrega
app_text_order_detail,Detalhe do pedido
app_text_update_personal,Atualizar detalhes pessoais
app_text_update_password,Atualizar senha
app_text_current_password,Senha atual
app_text_new_password,Nova Senha
app_text_confirm_password,Confirme sua senha
app_text_cancel,Cancelar
app_text_save,Salve 
app_text_sale,Oferta
app_text_new,Novo
app_text_order_ref,Referência de pedido
app_text_status,Status
app_text_placed,Colocado sobre
app_text_reorder,Reordenar
app_text_order_details,detalhes do pedido
app_text_status_history,Histórico de status
