app_text_home,Thuis
app_text_recent_product,Recent product
app_text_category,Categorieën
app_text_login,Log in
app_text_logout,Uitloggen
app_text_login_signup,Log in Schrijf in
app_text_account,Mijn rekening
app_text_contact,Neem contact op
app_text_about,Over ons
app_text_wishlist,Toevoegen aan verlanglijst
app_text_cart,Voeg toe aan winkelmandje
app_text_off,uit
app_text_all,Alle
app_text_languages,Taal (s)
app_text_sort,Soort
app_text_filter,Filter
app_text_sort_order,Selecteer Sorteervolgorde
app_text_price_asc,Prijs laag naar hoog
app_text_price_desc,Prijs: hoog tot laag
app_text_product,Product
app_text_select,Uitkiezen
app_text_instock,Op voorraad
app_text_outstock,Uitverkocht
app_text_product_info,Productinformatie en zorg
app_text_customization,Productaanpassing
app_text_accessories,Accessoires
app_text_view_less,Bekijk minder
app_text_view_more,Bekijk meer
app_text_provide_details,Gelieve details te geven
app_text_bag,Plastic tas
app_text_apply_voucher,Voucher aanbrengen
app_text_entry_voucher_code,Voer voucher code in
app_text_apply,Toepassen
app_text_gift,Cadeaupapier
app_text_entry_message,Voer uw bericht in
app_text_available_first,Stuur eerst beschikbare producten
app_text_continue_shopping,Doorgaan met winkelen
app_text_continue_checkout,Blijf afreken
app_text_update_quantity,Update hoeveelheid
app_text_enter_quantity,Voer de hoeveelheid in (0-10)
app_text_empty_cart,Uw winkelwagen is leeg!
app_text_goto_home,Ga naar homepagina
app_text_review_checkout,Controleer uw bestelling
app_text_add_new_shipping_address,Voeg een nieuw afleveradres toe
app_text_history,Verzendgegevens
app_text_summary,overzicht van de bestelling
app_text_shipping_methods,Verzendmethoden
app_text_comment,Bestel commentaar
app_text_payment_summary,Betalingsoverzicht
app_text_proceed,Ga door naar betaling
app_text_make_payment,Betaling maken
app_text_congratulations,Gefeliciteerd
app_text_shipping_addresses,Verzendadres (en)
app_text_order_detail,Bestel detail
app_text_update_personal,Werk persoonlijke gegevens bij
app_text_update_password,Vernieuw wachtwoord
app_text_current_password,huidig ​​wachtwoord
app_text_new_password,nieuw paswoord
app_text_confirm_password,bevestig wachtwoord
app_text_cancel,Annuleren
app_text_save,Opslaan
app_text_sale,Uitverkoop
app_text_new,Nieuw
app_text_order_ref,Bestelreferentie
app_text_status,Toestand
app_text_placed,Geplaatst op
app_text_reorder,Herstellen
app_text_order_details,Bestel Details
app_text_status_history,Statusgeschiedenis
app_text_shipping_address,afleveradres
app_text_order_summary,overzicht van de bestelling
app_text_shipping_method,Verzendmethode
app_text_payment_method,Betalingsmiddel
app_text_gift_wrapping,Geschenkverpakking
app_text_no_shipping_address,Geen verzendadres beschikbaar!
app_text_no_order_details,Geen besteldetails beschikbaar!
app_text_signup,Inschrijven
app_text_continue_guest,Ga door als gast
app_text_email,E -mail
app_text_password,Wachtwoord
app_text_forgot_password,Wachtwoord vergeten?
app_text_login_social_account,U kunt inloggen met een sociaal account.
app_text_login_with_google,Log in met Google+
app_text_login_with_facebook,Inloggen met Facebook
app_text_signup_with_google,Meld u aan bij Google+
app_text_signup_with_facebook,Aanmelden met Facebook
app_text_msg_enter_valid_email,Voer een geldig emailadres in!
app_text_msg_enter_email,Voer e -mail in!
app_text_msg_enter_password,Voer wachtwoord in alstublieft!
app_text_msg_password_characters_less_than_3,Voer het wachtwoord in met tekens meer dan 3 of gelijk aan 3!
app_text_msg_first_name,Voornaam
app_text_msg_last_name,Achternaam
app_text_msg_dob,Geboortedatum
app_text_msg_confirm_password,bevestig wachtwoord
app_text_msg_personal_details,Persoonlijke gegevens
app_text_msg_pass_not_matched,Wachtwoord en bevestig wachtwoord niet gekoppeld!
app_text_sold_by,Verkocht door:
app_text_write_review,Schrijfreview
app_text_view_review,Bekijk beoordeling (en)
app_text_view_seller_products,Bekijk verkoperproduct (s)
app_text_wait,Even geduld aub
app_text_loading,Data laden...
app_text_msg_went_wrong,Er is iets fout gegaan. Probeer het opnieuw.
app_text_msg_no_internet_found,Geen internetverbinding gevonden.
