app_text_home,Casa
app_text_recent_product,Producto reciente
app_text_category,Categorías
app_text_login,Acceso
app_text_logout,Cerrar sesión
app_text_login_signup,Iniciar sesión Registrarse
app_text_account,Mi cuenta
app_text_contact,Contáctenos
app_text_about,Sobre nosotros
app_text_wishlist,Añadir a la lista de deseos
app_text_cart,Añadir al carrito
app_text_off,apagado
app_text_all,Todos
app_text_languages,Lenguaje (s)
app_text_sort,Clasificar
app_text_filter,Filtrar
app_text_sort_order,Seleccionar orden de clasificación
app_text_price_asc,Precios de barato a caro
app_text_price_desc,Precio: alto a bajo
app_text_product,Producto
app_text_select,Seleccione
app_text_instock,En stock
app_text_outstock,Agotado
app_text_product_info,Información y cuidado del producto
app_text_customization,Personalización del producto
app_text_accessories,Accesorios
app_text_view_less,Ver menos
app_text_view_more,Ver más
app_text_provide_details,por favor proporcione detalles
app_text_bag,Bolsa de la compra
app_text_apply_voucher,Aplicar cupón
app_text_entry_voucher_code,Ingrese código de descuento
app_text_apply,Aplicar
app_text_gift,Papel de regalo
app_text_entry_message,Ingrese su mensaje
app_text_available_first,Envia los productos disponibles primero
app_text_continue_shopping,Seguir comprando
app_text_continue_checkout,Continuar a la comprobación
app_text_update_quantity,Cantidad de actualización
app_text_enter_quantity,Ingrese la cantidad (0-10)
app_text_empty_cart,¡Su cesta está vacía!
app_text_goto_home,Ir a la página de inicio
app_text_review_checkout,Revise su orden
app_text_add_new_shipping_address,Añadir nueva Dirección de Envío
app_text_history,Detalles de envío
app_text_summary,Resumen de pedido
app_text_shipping_methods,Métodos de envío
app_text_comment,Hacer comentarios
app_text_payment_summary,Resumen de pago
app_text_proceed,Proceder al pago
app_text_make_payment,Hacer el pago
app_text_congratulations,Felicidades
app_text_shipping_addresses,Dirección (s) de envío
app_text_order_detail,Detalle de la orden
app_text_update_personal,Actualizar datos personales
app_text_update_password,Actualiza contraseña
app_text_current_password,contraseña actual
app_text_new_password,Nueva contraseña
app_text_confirm_password,confirmar Contraseña
app_text_cancel,Cancelar
app_text_save,Guardar
app_text_sale,Rebaja
app_text_new,Nuevo
app_text_order_ref,Pedir Referencia
app_text_status,Estado
app_text_placed,Colocado en
app_text_reorder,Reordenar
app_text_order_details,Detalles del pedido
app_text_status_history,Historial de estado
app_text_shipping_address,Dirección de envío
app_text_order_summary,Resumen de pedido
app_text_shipping_method,Método de envío
app_text_payment_method,Método de pago
app_text_gift_wrapping,Envoltorio de regalo
app_text_no_shipping_address,¡No hay dirección de envío disponible!
app_text_no_order_details,¡No hay detalles de pedido disponibles!
app_text_signup,Inscribirse
app_text_continue_guest,Continua como invitado
app_text_email,Correo electrónico
app_text_password,Clave
app_text_forgot_password,Has olvidado tu contraseña?
app_text_login_social_account,Puede iniciar sesión con cuenta social.
app_text_login_with_google,Iniciar sesión con Google+
app_text_login_with_facebook,Iniciar sesión con Facebook
app_text_signup_with_google,Regístrese con Google+
