app_text_home,Heim
app_text_recent_product,Neueres Produkt
app_text_category,Kategorien
app_text_login,Anmeldung
app_text_logout,Ausloggen
app_text_login_signup,Einloggen Anmelden
app_text_account,Mein Konto
app_text_contact,Kontaktiere uns
app_text_about,Über uns
app_text_wishlist,Zur Wunschliste hinzufügen
app_text_cart,in den Warenkorb legen
app_text_off,aus
app_text_all,Alles
app_text_languages,Sprachen)
app_text_sort,Sortieren
app_text_filter,Filter
app_text_sort_order,Wählen Sie Sortierreihenfolge
app_text_price_asc,Preis niedrig bis hoch
app_text_price_desc,Preis: hoch bis niedrig
app_text_product,Produkt
app_text_select,Auswählen
app_text_instock,Auf Lager
app_text_outstock,Ausverkauft
app_text_product_info,Produktinformationen und Pflege
app_text_customization,Produktanpassung
app_text_accessories,Zubehör
app_text_view_less,Weniger anzeigen
app_text_view_more,Mehr sehen
app_text_provide_details,Bitte machen Sie Angaben
app_text_bag,Einkaufstasche
app_text_apply_voucher,Gutschein anwenden
app_text_entry_voucher_code,Gib den Gutschein-Code ein
app_text_apply,Anwenden
app_text_gift,Geschenkpapier
app_text_entry_message,Gib deine Nachricht ein
app_text_available_first,Verschicke vorrätige Ware zuerst
app_text_continue_shopping,Mit dem Einkaufen fortfahren
app_text_continue_checkout,Weiter zur Kasse
app_text_update_quantity,Aktualisieren Sie die Menge
app_text_enter_quantity,Geben Sie die Menge ein (0-10)
app_text_empty_cart,Dein Einkaufswagen ist leer!
app_text_goto_home,Gehen Sie zur Startseite
app_text_review_checkout,Überprüfen Sie ihre Bestellung
app_text_add_new_shipping_address,Neue Lieferadresse hinzufügen
app_text_history,Versanddetails
app_text_summary,Bestellübersicht
app_text_shipping_methods,Versandarten
app_text_comment,Bestellen Sie Kommentar
app_text_payment_summary,Zahlungsübersicht
app_text_proceed,Weiter zur Zahlung
app_text_make_payment,Zahlung leisten
app_text_congratulations,Herzliche Glückwünsche
app_text_shipping_addresses,Versandadresse (en)
app_text_order_detail,Bestelldetails
app_text_update_personal,Aktualisieren Sie persönliche Daten
app_text_update_password,Passwort erneuern
app_text_current_password,Aktuelles Passwort
app_text_new_password,Neues Kennwort
app_text_confirm_password,Bestätige das Passwort
app_text_cancel,Absagen
app_text_save,Speichern
app_text_sale,Verkauf
app_text_new,Neu
app_text_order_ref,Bestellnummer
app_text_status,Status
app_text_placed,Platziert auf
app_text_reorder,Nachbestellung
app_text_order_details,Bestelldetails
app_text_status_history,Statusgeschichte
app_text_shipping_address,Lieferanschrift
app_text_order_summary,Bestellübersicht
app_text_shipping_method,Versandmethode
app_text_payment_method,Bezahlverfahren
app_text_gift_wrapping,Geschenkverpackung
app_text_no_shipping_address,Keine Versandadresse verfügbar!
app_text_no_order_details,Keine Bestelldetails verfügbar!
app_text_signup,Anmeldung
app_text_continue_guest,Als Gast fortfahren
app_text_email,Email
app_text_password,Passwort
app_text_forgot_password,Passwort vergessen?
app_text_login_social_account,Sie können sich mit sozialem Konto anmelden.
app_text_login_with_google,Melden Sie sich bei Google+ an
app_text_login_with_facebook,Mit Facebook einloggen
app_text_signup_with_google,Anmelden bei Google+
app_text_signup_with_facebook,Melde dich über Facebook an
app_text_msg_enter_valid_email,Bitte eine gültige Email eingeben!
app_text_msg_enter_email,Bitte geben Sie eine E -Mail ein!
app_text_msg_enter_password,Bitte Passwort eingeben!
app_text_msg_password_characters_less_than_3,Bitte geben Sie Passwort mit mehr Zeichen mehr ein oder gleich 3!
app_text_msg_first_name,Vorname
app_text_msg_last_name,Familienname, Nachname
app_text_msg_dob,Geburtsdatum
app_text_msg_confirm_password,Bestätige das Passwort
app_text_msg_personal_details,Persönliche Daten
app_text_msg_pass_not_matched,Passwort und Passwort bestätigen nicht!
app_text_sold_by,Verkauft durch:
app_text_write_review,Bewertung schreiben
app_text_view_review,Bewertung anzeigen (en)
app_text_view_seller_products,Verkäuferprodukte anzeigen (en)
app_text_wait,Warten Sie mal
app_text_loading,Daten werden geladen...
app_text_msg_went_wrong,Etwas ist schief gelaufen. Bitte versuche es erneut.
